Public Order Offences,Camden,2027,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1,0,0,3,2,2,2,1,0,1,2,1
,,,,,1,0,1,3,3,0,1,0,1,3,1,1
,,,,,0,1,0,2,1,0,0,0,1,1,0,0
Robbery,Camden,1924,,,7,5,5,6,5,9,8,9,7,11,8,4
,,,,,1,0,0,0,0,0,0,2,0,0,0,0
Sexual Offences,Camden,695,,,6,10,10,7,9,5,5,4,4,5,2,7
,,,,,1,2,1,3,1,1,1,0,1,2,0,1
Theft,Camden,17239,,,2,4,1,3,1,2,2,0,0,4,2,0
,,,,,6,4,4,2,5,6,6,5,8,4,5,5
,,,,,11,13,22,16,12,15,16,10,12,21,13,10
,,,,,95,69,98,87,105,92,132,86,81,119,109,104
Vehicle Offences,Camden,3856,,,24,37,59,31,32,41,59,41,29,25,44,34
,,,,,0,0,0,0,0,0,1,0,1,0,0,0
,,,,,4,11,6,3,5,4,10,8,13,7,12,12
,,,,,72,110,81,91,88,82,107,84,93,118,153,121
Violence Against the Person,Camden,6648,,,34,32,26,23,38,27,27,34,26,26,33,28
,,,,,14,12,18,11,15,15,13,19,15,32,26,12
,,,,,12,12,13,16,32,25,28,24,23,15,11,16
Arson and Criminal Damage,Croydon,2459,,,308,364,347,381,331,337,283,293,271,305,288,324
,,,,,143,135,153,132,167,148,191,183,155,128,134,137
Burglary,Croydon,2826,,,56,83,99,78,71,80,99,56,47,72,95,65
,,,,,5,2,4,2,6,3,3,11,4,4,5,4
Drug Offences,Croydon,2457,,,60,72,74,83,82,105,72,55,72,61,90,81
,,,,,293,266,341,324,313,354,332,296,455,414,394,359
Miscellaneous Crimes Against Society,Croydon,470,,,122,125,148,132,128,138,149,106,116,135,121,114
Possession of Weapons,Croydon,355,,,0,0,1,1,0,1,0,0,0,0,0,2
,,,,,170,171,225,187,184,220,206,183,193,166,214,167
,,,,,384,405,431,388,382,423,520,388,444,423,470,421
,,,,,8,5,5,8,4,8,4,6,4,8,4,4
,,,,,143,112,107,143,142,125,139,124,107,151,140,129
Public Order Offences,Croydon,2135,,,27,34,36,49,50,49,42,34,24,44,20,11
,,,,,146,96,140,118,115,81,64,68,79,157,147,130
,,,,,5,3,4,1,2,1,5,1,3,2,1,5
,,,,,59,66,59,51,67,68,66,62,48,61,61,37
Robbery,Croydon,1167,,,3,0,0,0,1,1,1,0,1,1,2,1
,,,,,0,1,0,0,0,0,0,0,0,0,1,0
Sexual Offences,Croydon,1039,,,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,1,0,0,1,0,0,0,1,0,0,0,0
Theft,Croydon,6010,,,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,0,0,1,1,0,0,0,0,0,0,0,2
,,,,,0,1,1,1,2,1,1,1,2,0,0,0
,,,,,2,2,1,3,1,1,1,0,0,0,1,1
Vehicle Offences,Croydon,5117,,,7,6,8,6,4,5,6,1,3,4,4,2
,,,,,1,1,2,2,0,0,0,3,0,1,2,2
,,,,,0,4,1,0,4,1,1,0,1,4,1,1
,,,,,1,1,1,0,2,0,0,0,1,3,2,1
Violence Against the Person,Croydon,9826,,,1,1,0,0,0,0,0,0,0,0,0,0
,,,,,1,0,0,0,1,2,1,0,1,0,1,0
,,,,,5,7,6,4,3,11,10,9,6,13,9,10
Arson and Criminal Damage,Ealing,2218,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Burglary,Ealing,2915,,,6,5,3,5,2,8,7,2,4,4,6,2
,,,,,1,0,0,1,0,0,0,4,1,0,3,0
Drug Offences,Ealing,1706,,,1,2,0,0,4,0,0,0,1,0,2,1
,,,,,6,4,8,5,5,4,4,3,4,4,1,5
Miscellaneous Crimes Against Society,Ealing,367,,,14,9,14,11,12,17,12,17,26,19,16,21
,,,,,58,50,51,56,85,72,70,74,68,79,67,67
,,,,,12,6,13,11,16,9,16,18,15,25,18,12
,,,,,0,0,0,0,0,0,1,1,0,0,0,0
,,,,,5,11,3,6,2,2,7,4,2,3,1,7
,,,,,28,18,32,14,36,26,37,20,21,32,31,35
,,,,,23,18,18,17,16,19,26,12,20,24,22,20
,,,,,12,7,11,16,11,6,19,14,23,15,3,12
,,,,,5,8,6,8,8,12,12,10,11,12,10,3
,,,,,179,132,119,137,140,118,152,160,128,131,130,116
,,,,,87,74,87,82,91,72,68,85,52,88,84,55
,,,,,21,17,18,13,15,19,24,18,18,17,22,16
,,,,,1,3,4,2,1,2,4,4,4,2,2,1
,,,,,33,28,30,44,27,45,22,53,60,48,39,35
,,,,,155,145,132,161,187,149,178,184,216,190,174,149
,,,,,65,72,70,79,88,91,91,77,87,76,73,54
,,,,,0,0,0,0,0,0,0,0,0,1,0,1
,,,,,137,142,153,173,173,177,162,151,166,157,174,157
,,,,,283,257,292,259,289,270,282,309,286,297,262,297
Possession of Weapons,Ealing,263,,,6,3,5,6,5,5,2,8,5,6,3,7
,,,,,168,151,202,176,182,168,178,200,156,162,159,161
,,,,,39,42,62,29,42,45,26,60,44,38,44,44
,,,,,189,169,199,183,176,193,143,154,161,186,202,216
,,,,,8,4,9,4,6,8,7,14,5,13,8,7
Public Order Offences,Ealing,2047,,,130,95,151,119,127,148,231,176,167,130,122,94
,,,,,0,0,0,1,1,1,0,1,1,0,0,0
,,,,,0,0,1,0,0,0,0,0,0,0,1,0
,,,,,0,0,1,1,0,0,1,0,0,0,1,1
Robbery,Ealing,1305,,,1,0,0,1,1,1,2,1,2,1,0,2
,,,,,1,1,0,0,0,0,1,0,0,0,0,0
Sexual Offences,Ealing,715,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1,0,0,0,0,0,0,0,0,0,0,1
Theft,Ealing,6148,,,0,2,2,0,0,0,0,1,0,0,0,1
,,,,,0,1,0,2,1,1,0,2,1,2,6,0
,,,,,2,1,0,3,0,1,4,2,0,0,0,1
,,,,,0,1,0,3,1,0,1,0,1,2,1,2
